y_coordinate ,y_index,x_coordinate ,x_index
-529000.0,5513,-3828250.0,732
-466000.0,5450,-3831250.0,729
-404000.0,5388,-3833250.0,727
-342000.0,5326,-3836250.0,724
-280000.0,5264,-3838250.0,722
-218000.0,5202,-3839250.0,721
-156000.0,5140,-3840250.0,720
-93000.0,5077,-3841250.0,719
-31000.0,5015,-3841250.0,719
31000.0,4953,-3841250.0,719
93000.0,4891,-3841250.0,719
156000.0,4828,-3840250.0,720
218000.0,4766,-3839250.0,721
280000.0,4704,-3838250.0,722
342000.0,4642,-3836250.0,724
404000.0,4580,-3833250.0,727
466000.0,4518,-3831250.0,729
529000.0,4455,-3828250.0,732
591000.0,4393,-3825250.0,735
653000.0,4331,-3821250.0,739
715000.0,4269,-3817250.0,743
777000.0,4207,-3812250.0,748
839000.0,4145,-3807250.0,753
901000.0,4083,-3802250.0,758
963000.0,4021,-3797250.0,763
1025000.0,3959,-3791250.0,769
1087000.0,3897,-3784250.0,776
1149000.0,3835,-3778250.0,782
1210000.0,3774,-3771250.0,789
1272000.0,3712,-3763250.0,797
1334000.0,3650,-3755250.0,805
1396000.0,3588,-3747250.0,813
1457000.0,3527,-3739250.0,821
1519000.0,3465,-3730250.0,830
1580000.0,3404,-3720250.0,840
1642000.0,3342,-3711250.0,849
1703000.0,3281,-3701250.0,859
1765000.0,3219,-3690250.0,870
1826000.0,3158,-3679250.0,881
1887000.0,3097,-3668250.0,892
1948000.0,3036,-3657250.0,903
2009000.0,2975,-3645250.0,915
2070000.0,2914,-3633250.0,927
2131000.0,2853,-3620250.0,940
2192000.0,2792,-3607250.0,953
2253000.0,2731,-3594250.0,966
2314000.0,2670,-3580250.0,980
2374000.0,2610,-3566250.0,994
2435000.0,2549,-3552250.0,1008
2495000.0,2489,-3537250.0,1023
2556000.0,2428,-3522250.0,1038
2616000.0,2368,-3506250.0,1054
2676000.0,2308,-3490250.0,1070
2736000.0,2248,-3474250.0,1086
2796000.0,2188,-3458250.0,1102
2856000.0,2128,-3441250.0,1119
2916000.0,2068,-3423250.0,1137
2975000.0,2009,-3406250.0,1154
3035000.0,1949,-3388250.0,1172
3094000.0,1890,-3369250.0,1191
3154000.0,1830,-3351250.0,1209
3213000.0,1771,-3332250.0,1228
3272000.0,1712,-3312250.0,1248
3331000.0,1653,-3292250.0,1268
3390000.0,1594,-3272250.0,1288
3449000.0,1535,-3252250.0,1308
3507000.0,1477,-3231250.0,1329
3566000.0,1418,-3210250.0,1350
3624000.0,1360,-3188250.0,1372
3682000.0,1302,-3166250.0,1394
3740000.0,1244,-3144250.0,1416
3798000.0,1186,-3121250.0,1439
3856000.0,1128,-3098250.0,1462
3914000.0,1070,-3075250.0,1485
3971000.0,1013,-3052250.0,1508
4029000.0,955,-3028250.0,1532
4086000.0,898,-3003250.0,1557
4143000.0,841,-2979250.0,1581
4200000.0,784,-2954250.0,1606
4257000.0,727,-2928250.0,1632
4314000.0,670,-2903250.0,1657
4370000.0,614,-2877250.0,1683
4427000.0,557,-2850250.0,1710
4483000.0,501,-2823250.0,1737
4539000.0,445,-2796250.0,1764
4595000.0,389,-2769250.0,1791
4650000.0,334,-2741250.0,1819
4706000.0,278,-2713250.0,1847
4761000.0,223,-2685250.0,1875
4816000.0,168,-2656250.0,1904
4871000.0,113,-2627250.0,1933
4926000.0,58,-2598250.0,1962
4981000.0,3,-2568250.0,1992
-3076000.0,8060,-3310250.0,1250
-3017000.0,8001,-3328250.0,1232
-2957000.0,7941,-3346250.0,1214
-2898000.0,7882,-3364250.0,1196
-2839000.0,7823,-3381250.0,1179
-2779000.0,7763,-3398250.0,1162
-2720000.0,7704,-3414250.0,1146
-2660000.0,7644,-3430250.0,1130
-2600000.0,7584,-3446250.0,1114
-2540000.0,7524,-3461250.0,1099
-2480000.0,7464,-3477250.0,1083
-2420000.0,7404,-3491250.0,1069
-2360000.0,7344,-3506250.0,1054
-2300000.0,7284,-3519250.0,1041
-2239000.0,7223,-3533250.0,1027
-2179000.0,7163,-3546250.0,1014
-2118000.0,7102,-3559250.0,1001
-2058000.0,7042,-3572250.0,988
-1997000.0,6981,-3584250.0,976
-1937000.0,6921,-3596250.0,964
-1876000.0,6860,-3607250.0,953
-1815000.0,6799,-3618250.0,942
-1754000.0,6738,-3629250.0,931
-1693000.0,6677,-3639250.0,921
-1632000.0,6616,-3649250.0,911
-1571000.0,6555,-3659250.0,901
-1510000.0,6494,-3668250.0,892
-1449000.0,6433,-3677250.0,883
-1387000.0,6371,-3685250.0,875
-1326000.0,6310,-3693250.0,867
-1265000.0,6249,-3701250.0,859
-1203000.0,6187,-3709250.0,851
-1142000.0,6126,-3716250.0,844
-1080000.0,6064,-3722250.0,838
-1019000.0,6003,-3729250.0,831
-957000.0,5941,-3735250.0,825
-896000.0,5880,-3740250.0,820
-834000.0,5818,-3745250.0,815
-772000.0,5756,-3750250.0,810
-711000.0,5695,-3755250.0,805
-649000.0,5633,-3759250.0,801
-587000.0,5571,-3762250.0,798
-525000.0,5509,-3766250.0,794
-464000.0,5448,-3769250.0,791
-402000.0,5386,-3771250.0,789
-340000.0,5324,-3773250.0,787
-278000.0,5262,-3775250.0,785
-216000.0,5200,-3777250.0,783
-155000.0,5139,-3778250.0,782
-93000.0,5077,-3779250.0,781
-31000.0,5015,-3779250.0,781
31000.0,4953,-3779250.0,781
93000.0,4891,-3779250.0,781
155000.0,4829,-3778250.0,782
216000.0,4768,-3777250.0,783
278000.0,4706,-3775250.0,785
340000.0,4644,-3773250.0,787
402000.0,4582,-3771250.0,789
464000.0,4520,-3769250.0,791
525000.0,4459,-3766250.0,794
587000.0,4397,-3762250.0,798
649000.0,4335,-3759250.0,801
711000.0,4273,-3755250.0,805
772000.0,4212,-3750250.0,810
834000.0,4150,-3745250.0,815
896000.0,4088,-3740250.0,820
957000.0,4027,-3735250.0,825
1019000.0,3965,-3729250.0,831
1080000.0,3904,-3722250.0,838
1142000.0,3842,-3716250.0,844
1203000.0,3781,-3709250.0,851
1265000.0,3719,-3701250.0,859
1326000.0,3658,-3693250.0,867
1387000.0,3597,-3685250.0,875
1449000.0,3535,-3677250.0,883
1510000.0,3474,-3668250.0,892
1571000.0,3413,-3659250.0,901
1632000.0,3352,-3649250.0,911
1693000.0,3291,-3639250.0,921
1754000.0,3230,-3629250.0,931
1815000.0,3169,-3618250.0,942
1876000.0,3108,-3607250.0,953
1937000.0,3047,-3596250.0,964
1997000.0,2987,-3584250.0,976
2058000.0,2926,-3572250.0,988
2118000.0,2866,-3559250.0,1001
2179000.0,2805,-3546250.0,1014
2239000.0,2745,-3533250.0,1027
2300000.0,2684,-3519250.0,1041
