y,x,lat ,lon
4564220.502596313,-2993936.127737522,6.75,297.25
4621275.171987136,-2966406.276481725,6.75,297.75
4678163.798422399,-2938534.9257470886,6.75,298.25
4734884.337887102,-2910323.0769545073,6.75,298.75
4791434.752405662,-2881771.7437589886,6.75,299.25
4847813.010115105,-2852881.9520132574,6.75,299.75
4904017.085338037,-2823654.7397309104,6.75,300.25
4960044.958655496,-2794091.1570490855,6.75,300.75
-3071500.884095977,-3508068.241570129,7.25,235.25
-3011227.255248302,-3526298.787513226,7.25,235.75
-2950845.4326543612,-3544167.7169743106,7.25,236.25
-2890357.5858400897,-3561674.387920662,7.25,236.75
-2829765.888140863,-3578818.171335556,7.25,237.25
-2769072.516623446,-3595598.4512408543,7.25,237.75
-2708279.652007758,-3612014.624719144,7.25,238.25
-2647389.4785884996,-3628066.1019354,7.25,238.75
-2586404.184156704,-3643752.3061581757,7.25,239.25
-2525325.9599211146,-3659072.6737803197,7.25,239.75
-2464157.000429435,-3674026.6543392427,7.25,240.25
-2402899.5034895227,-3688613.710536679,7.25,240.75
-2341555.670090369,-3702833.3182580005,7.25,241.25
-2280127.7043230645,-3716684.966591043,7.25,241.75
-2218617.8133015856,-3730168.1578444643,7.25,242.25
-2157028.2070834734,-3743282.407565637,7.25,242.75
-2095361.0985904709,-3756027.244558035,7.25,243.25
-2033618.7035289607,-3768402.2108981847,7.25,243.75
-1971803.240310401,-3780406.861952099,7.25,244.25
-1909916.929971596,-3792040.7663912666,7.25,244.75
-1847961.996094877,-3803303.5062081465,7.25,245.25
-1785940.6647282518,-3814194.6767311837,7.25,245.75
-1723855.1643053736,-3824713.8866393524,7.25,246.25
-1661707.7255655145,-3834860.7579762153,7.25,246.75
-1599500.5814733987,-3844634.9261635,7.25,247.25
-1537235.9671389516,-3854036.040014207,7.25,247.75
-1474916.1197370298,-3863063.7617452173,7.25,248.25
-1412543.2784270204,-3871717.766989438,7.25,248.75
-1350119.6842723696,-3879997.744807452,7.25,249.25
-1287647.5801601037,-3887903.397698692,7.25,249.75
-1225129.210720192,-3895434.4416121277,7.25,250.25
-1162566.822244942,-3902590.605956474,7.25,250.75
-1099962.6626082698,-3909371.6336099096,7.25,251.25
-1037318.981184916,-3915777.280929322,7.25,251.75
-974638.0287696677,-3921807.3177590575,7.25,252.25
-911922.0574964386,-3927461.527439189,7.25,252.75
-849173.320757393,-3932739.7068133038,7.25,253.25
-786394.073121962,-3937641.6662358004,7.25,253.75
-723586.570255818,-3942167.2295787083,7.25,254.25
-660753.0688398719,-3946316.2342380066,7.25,254.75
-597895.8264891406,-3950088.5311394744,7.25,255.25
-535017.1016716749,-3953483.984744045,7.25,255.75
-472119.15362739266,-3956502.4730526754,7.25,256.25
-409204.2422868854,-3959143.88761073,7.25,256.75
-346274.62819025724,-3961408.1335118716,7.25,257.25
-283332.57240588387,-3963295.129401484,7.25,257.75
-220380.33644915334,-3964804.807479585,7.25,258.25
-157420.18220125372,-3965937.1135032624,7.25,258.75
-94454.37182785278,-3966692.0067886333,7.25,259.25
-31485.167697862787,-3967069.460212291,7.25,259.75
31485.167697865996,-3967069.460212291,7.25,260.25
94454.37182785598,-3966692.0067886333,7.25,260.75
157420.18220125049,-3965937.1135032624,7.25,261.25
220380.33644915657,-3964804.807479585,7.25,261.75
283332.5724058871,-3963295.129401484,7.25,262.25
346274.62819026044,-3961408.1335118716,7.25,262.75
409204.2422868886,-3959143.8876107284,7.25,263.25
472119.15362738946,-3956502.4730526754,7.25,263.75
535017.101671678,-3953483.984744045,7.25,264.25
597895.8264891439,-3950088.5311394744,7.25,264.75
660753.0688398686,-3946316.2342380066,7.25,265.25
723586.570255821,-3942167.2295787083,7.25,265.75
786394.0731219653,-3937641.6662358004,7.25,266.25
