x_coordinate ,x_index,y_coordinate ,y_index
-3619250.0,941,-2665000.0,7649
-3563250.0,997,-2687000.0,7671
-3508250.0,1052,-2708000.0,7692
-3452250.0,1108,-2729000.0,7713
-3397250.0,1163,-2749000.0,7733
-3341250.0,1219,-2769000.0,7753
-3285250.0,1275,-2789000.0,7773
-3229250.0,1331,-2809000.0,7793
-3173250.0,1387,-2828000.0,7812
-3117250.0,1443,-2847000.0,7831
-3061250.0,1499,-2865000.0,7849
-3004250.0,1556,-2883000.0,7867
-2948250.0,1612,-2901000.0,7885
-2891250.0,1669,-2919000.0,7903
-2834250.0,1726,-2936000.0,7920
-2778250.0,1782,-2953000.0,7937
-2721250.0,1839,-2969000.0,7953
-2664250.0,1896,-2985000.0,7969
-2606250.0,1954,-3001000.0,7985
-2549250.0,2011,-3017000.0,8001
-2492250.0,2068,-3032000.0,8016
-2434250.0,2126,-3047000.0,8031
-2377250.0,2183,-3061000.0,8045
-2319250.0,2241,-3075000.0,8059
-2262250.0,2298,-3089000.0,8073
2261750.0,6822,-3089000.0,8073
2319750.0,6880,-3075000.0,8059
2376750.0,6937,-3061000.0,8045
2434750.0,6995,-3047000.0,8031
2491750.0,7052,-3032000.0,8016
2549750.0,7110,-3017000.0,8001
2606750.0,7167,-3001000.0,7985
2663750.0,7224,-2985000.0,7969
2720750.0,7281,-2969000.0,7953
2777750.0,7338,-2953000.0,7937
2834750.0,7395,-2936000.0,7920
2891750.0,7452,-2919000.0,7903
2947750.0,7508,-2901000.0,7885
3004750.0,7565,-2883000.0,7867
3060750.0,7621,-2865000.0,7849
3116750.0,7677,-2847000.0,7831
3173750.0,7734,-2828000.0,7812
3229750.0,7790,-2809000.0,7793
-4508250.0,52,-2196000.0,7180
-4456250.0,104,-2223000.0,7207
-4403250.0,157,-2249000.0,7233
-4351250.0,209,-2275000.0,7259
-4298250.0,262,-2301000.0,7285
-4245250.0,315,-2327000.0,7311
-4191250.0,369,-2352000.0,7336
-4138250.0,422,-2377000.0,7361
-4084250.0,476,-2402000.0,7386
-4031250.0,529,-2426000.0,7410
-3977250.0,583,-2450000.0,7434
-3923250.0,637,-2474000.0,7458
-3869250.0,691,-2497000.0,7481
-3815250.0,745,-2520000.0,7504
-3760250.0,800,-2543000.0,7527
-3706250.0,854,-2565000.0,7549
-3651250.0,909,-2587000.0,7571
-3596250.0,964,-2609000.0,7593
-3542250.0,1018,-2630000.0,7614
-3487250.0,1073,-2652000.0,7636
-3431250.0,1129,-2672000.0,7656
-3376250.0,1184,-2693000.0,7677
-3321250.0,1239,-2713000.0,7697
-3265250.0,1295,-2732000.0,7716
-3210250.0,1350,-2752000.0,7736
-3154250.0,1406,-2771000.0,7755
-3098250.0,1462,-2790000.0,7774
-3042250.0,1518,-2808000.0,7792
-2986250.0,1574,-2826000.0,7810
-2930250.0,1630,-2844000.0,7828
-2874250.0,1686,-2861000.0,7845
-2817250.0,1743,-2878000.0,7862
-2761250.0,1799,-2895000.0,7879
-2704250.0,1856,-2911000.0,7895
-2647250.0,1913,-2927000.0,7911
-2591250.0,1969,-2943000.0,7927
-2534250.0,2026,-2959000.0,7943
-2477250.0,2083,-2974000.0,7958
-2420250.0,2140,-2988000.0,7972
-2362250.0,2198,-3003000.0,7987
-2305250.0,2255,-3017000.0,8001
-2248250.0,2312,-3030000.0,8014
-2191250.0,2369,-3044000.0,8028
-2133250.0,2427,-3056000.0,8040
-2076250.0,2484,-3069000.0,8053
-2018250.0,2542,-3081000.0,8065
2017750.0,6578,-3081000.0,8065
2075750.0,6636,-3069000.0,8053
2133750.0,6694,-3056000.0,8040
2190750.0,6751,-3044000.0,8028
2247750.0,6808,-3030000.0,8014
2305750.0,6866,-3017000.0,8001
2362750.0,6923,-3003000.0,7987
2419750.0,6980,-2988000.0,7972
2476750.0,7037,-2974000.0,7958
2533750.0,7094,-2959000.0,7943
2590750.0,7151,-2943000.0,7927
2647750.0,7208,-2927000.0,7911
2704750.0,7265,-2911000.0,7895
2760750.0,7321,-2895000.0,7879
2817750.0,7378,-2878000.0,7862
2873750.0,7434,-2861000.0,7845
2929750.0,7490,-2844000.0,7828
2985750.0,7546,-2826000.0,7810
3042750.0,7603,-2808000.0,7792
3098750.0,7659,-2790000.0,7774
3153750.0,7714,-2771000.0,7755
3209750.0,7770,-2752000.0,7736
-4533250.0,27,-2115000.0,7099
-4481250.0,79,-2143000.0,7127
-4429250.0,131,-2169000.0,7153
-4376250.0,184,-2196000.0,7180
-4324250.0,236,-2222000.0,7206
-4271250.0,289,-2247000.0,7231
-4219250.0,341,-2273000.0,7257
-4166250.0,394,-2298000.0,7282
-4113250.0,447,-2323000.0,7307
-4060250.0,500,-2347000.0,7331
-4006250.0,554,-2372000.0,7356
-3953250.0,607,-2395000.0,7379
-3899250.0,661,-2419000.0,7403
-3845250.0,715,-2442000.0,7426
-3792250.0,768,-2465000.0,7449
-3737250.0,823,-2488000.0,7472
-3683250.0,877,-2510000.0,7494
-3629250.0,931,-2532000.0,7516
-3575250.0,985,-2553000.0,7537
-3520250.0,1040,-2575000.0,7559
-3465250.0,1095,-2596000.0,7580
-3411250.0,1149,-2616000.0,7600
-3356250.0,1204,-2636000.0,7620
-3301250.0,1259,-2656000.0,7640
-3245250.0,1315,-2676000.0,7660
-3190250.0,1370,-2695000.0,7679
-3135250.0,1425,-2714000.0,7698
-3079250.0,1481,-2733000.0,7717
-3024250.0,1536,-2751000.0,7735
-2968250.0,1592,-2769000.0,7753
-2912250.0,1648,-2787000.0,7771
-2856250.0,1704,-2804000.0,7788
-2800250.0,1760,-2821000.0,7805
-2744250.0,1816,-2838000.0,7822
-2688250.0,1872,-2854000.0,7838
-2631250.0,1929,-2870000.0,7854
-2575250.0,1985,-2885000.0,7869
-2518250.0,2042,-2901000.0,7885
-2462250.0,2098,-2916000.0,7900
-2405250.0,2155,-2930000.0,7914
-2348250.0,2212,-2944000.0,7928
-2291250.0,2269,-2958000.0,7942
-2234250.0,2326,-2972000.0,7956
-2177250.0,2383,-2985000.0,7969
-2120250.0,2440,-2998000.0,7982
-2063250.0,2497,-3011000.0,7995
-2006250.0,2554,-3023000.0,8007
-1948250.0,2612,-3035000.0,8019
-1891250.0,2669,-3046000.0,8030
-1833250.0,2727,-3057000.0,8041
-1776250.0,2784,-3068000.0,8052
-1718250.0,2842,-3079000.0,8063
-1661250.0,2899,-3089000.0,8073
1660750.0,6221,-3089000.0,8073
1718750.0,6279,-3079000.0,8063
1775750.0,6336,-3068000.0,8052
1833750.0,6394,-3057000.0,8041
1890750.0,6451,-3046000.0,8030
1948750.0,6509,-3035000.0,8019
2005750.0,6566,-3023000.0,8007
2062750.0,6623,-3011000.0,7995
2120750.0,6681,-2998000.0,7982
2177750.0,6738,-2985000.0,7969
2234750.0,6795,-2972000.0,7956
2291750.0,6852,-2958000.0,7942
2348750.0,6909,-2944000.0,7928
2404750.0,6965,-2930000.0,7914
2461750.0,7022,-2916000.0,7900
2518750.0,7079,-2901000.0,7885
