x,y,lat ,lon
-4044387.7189453845,-2751901.9333290057,10.25,225.75
-3988629.1838567485,-2775977.6901856977,10.25,226.25
-3932727.336856639,-2799718.7896848572,10.25,226.75
-3876684.186504926,-2823124.3788060145,10.25,227.25
-3820501.7464385363,-2846193.616583624,10.25,227.75
-3764182.0352990986,-2868925.6741372813,10.25,228.25
-3707727.076660391,-2891319.7347015105,10.25,228.75
-3651138.8989556525,-2913374.993655106,10.25,229.25
-3594419.5354047087,-2935090.6585500436,10.25,229.75
-3537571.023940905,-2956465.9491399503,10.25,230.25
-3480595.407137888,-2977500.0974081443,10.25,230.75
-3423494.7321362,-2998192.3475952274,10.25,231.25
-3366271.0505697597,-3018541.956226236,10.25,231.75
-3308926.418492106,-3038548.1921373648,10.25,232.25
-3251462.896302557,-3058210.336502222,10.25,232.75
-3193882.5486721694,-3077527.682857669,10.25,233.25
3193882.5486721727,-3077527.6828576676,10.25,286.75
3251462.89630256,-3058210.336502222,10.25,287.25
-4512025.230483004,-2465607.632622786,10.75,221.25
-4457974.38427679,-2492491.620586788,10.75,221.75
-4403763.362531342,-2519051.136880782,10.75,222.25
-4349394.113054978,-2545285.2272182577,10.75,222.75
-4294868.589341192,-2571192.9490052797,10.75,223.25
-4240188.750498394,-2596773.371374391,10.75,223.75
-4185356.561179562,-2622025.575218037,10.75,224.25
-4130373.9915116555,-2646948.6532215844,10.75,224.75
-4075243.017024817,-2671541.7098959372,10.75,225.25
-4019965.618581373,-2695803.861609706,10.75,225.75
-3964543.7823046995,-2719734.236620948,10.75,226.25
-3908979.499507838,-2743331.9751085015,10.75,226.75
-3853274.7666219366,-2766596.229202871,10.75,227.25
-3797431.5851245434,-2789526.163016698,10.75,227.75
-3741451.9614676866,-2812120.952674782,10.75,228.25
-3685337.9070057627,-2834379.7863437026,10.75,228.75
-3629091.4379232833,-2856301.8642609715,10.75,229.25
-3572714.575162443,-2877886.3987637726,10.75,229.75
-3516209.344350494,-2899132.6143172653,10.75,230.25
-3459577.7757269694,-2920039.7475424483,10.75,230.75
-3402821.904070721,-2940607.047243587,10.75,231.25
-3345943.7686268413,-2960833.7744352063,10.75,231.75
-3288945.4130333574,-2980719.2023686427,10.75,232.25
-3231828.885247834,-3000262.6165581504,10.75,232.75
-3174596.237473778,-3019463.3148065805,10.75,233.25
-3117249.5260868827,-3038320.6072306093,10.75,233.75
-3059790.811561184,-3056833.8162855157,10.75,234.25
-3002222.1583949807,-3075002.2767895483,10.75,234.75
3002222.158394984,-3075002.2767895465,10.75,285.25
3059790.8115611807,-3056833.816285517,10.75,285.75
3117249.52608688,-3038320.6072306093,10.75,286.25
3174596.2374737803,-3019463.314806579,10.75,286.75
3231828.8852478373,-3000262.6165581504,10.75,287.25
-4538296.443911244,-2384104.382655671,11.25,220.75
-4484733.668172212,-2411147.3083357303,11.25,221.25
-4431009.755429761,-2437868.6850564,11.25,221.75
-4377126.635990333,-2464267.552715499,11.25,222.25
-4323086.245880678,-2490342.962798646,11.25,222.75
-4268890.526778337,-2516093.978413305,11.25,223.25
-4214541.425941798,-2541519.674322486,11.25,223.75
-4160040.8961405866,-2566619.1369779776,11.25,224.25
-4105390.895585096,-2591391.4645531573,11.25,224.75
-4050593.3878562218,-2615835.7669754033,11.25,225.25
-3995650.341834791,-2639951.165958089,11.25,225.75
-3940563.7316308585,-2663736.7950321124,11.25,226.25
-3885335.536512754,-2687191.799577051,11.25,226.75
-3829967.7408359554,-2710315.3368518557,11.25,227.25
-3774462.333971819,-2733106.576025139,11.25,227.75
-3718821.3102360894,-2755564.6982050175,11.25,228.25
-3663046.6688172286,-2777688.896468547,11.25,228.75
-3607140.4137045997,-2799478.375890705,11.25,229.25
-3551104.5536164683,-2820932.353572957,11.25,229.75
-3494941.101927821,-2842050.058671381,11.25,230.25
-3438652.0765980273,-2862830.7324243737,11.25,230.75
-3382239.5000983183,-2883273.628179904,11.25,231.25
-3325705.3993391525,-2903378.011422345,11.25,231.75
-3269051.805597349,-2923143.159798862,11.25,232.25
-3212280.7544431407,-2942568.363145374,11.25,232.75
-3155394.2856670176,-2961652.923512058,11.25,233.25
-3098394.443206422,-2980396.155188435,11.25,233.75
-3041283.2750723483,-2998797.3847280066,11.25,234.25
-2984062.8332757135,-3016855.9509724528,11.25,234.75
-2926735.1737536667,-3034571.2050753804,11.25,235.25
-2869302.3562957016,-3051942.5105256457,11.25,235.75
-2811766.4444696316,-3068969.243170221,11.25,236.25
-2754129.505547487,-3085650.7912366153,11.25,236.75
2754129.5055474793,-3085650.7912366195,11.25,283.25
2811766.4444696344,-3068969.243170221,11.25,283.75
2869302.3562957104,-3051942.5105256443,11.25,284.25
2926735.1737536634,-3034571.2050753823,11.25,284.75
2984062.833275717,-3016855.9509724528,11.25,285.25
3041283.275072345,-2998797.384728008,11.25,285.75
3098394.4432064192,-2980396.1551884366,11.25,286.25
3155394.2856670204,-2961652.9235120565,11.25,286.75
3212280.7544431435,-2942568.363145374,11.25,287.25
-4510797.816655472,-2330042.3588484526,11.75,220.75
-4457559.590628657,-2356921.424952045,11.75,221.25
-4404161.203966198,-2383480.890438558,11.75,221.75
-4350604.575278345,-2409719.8010233007,11.75,222.25
-4296891.628860999,-2435637.2139391666,11.75,222.75
-4243024.294626607,-2461232.1979704774,11.75,223.25
-4189004.508034755,-2486503.8334864764,11.75,223.75
-4134834.2100226674,-2511451.21247436,11.75,224.25
-4080515.34693547,-2536073.438571888,11.75,224.75
-4026049.870456252,-2560369.6270996057,11.75,225.25
